pairId,deltaUtility,beneficial,harmful,authorityClean
provider-urgent-pair-1,1.9999999999999998,True,False,True
provider-urgent-pair-2,1.9999999999999998,True,False,True
provider-urgent-pair-3,1.9999999999999998,True,False,True
provider-urgent-pair-4,1.9999999999999998,True,False,True
provider-urgent-pair-5,1.9999999999999998,True,False,True
provider-urgent-pair-6,1.9999999999999998,True,False,True
provider-urgent-pair-7,1.9999999999999998,True,False,True
provider-urgent-pair-8,1.9999999999999998,True,False,True
provider-urgent-pair-9,1.9999999999999998,True,False,True
provider-urgent-pair-10,1.9999999999999998,True,False,True
